chunk_elapsed_s,chunk_end_utc,chunk_file,chunk_plot_file,chunk_reps,chunk_start_utc,contrast_mean,cumulative_plot_file,cycle_index,loop_avg_cycle_s,loop_elapsed_s,loop_eta_finish_local,loop_eta_remaining_s,pre_chunk_reopt_mean_delta_cts_s,pre_chunk_reopt_status,reference_mean_cts_s,remaining_reps_after_chunk,reopt_fit_success_fraction,reopt_mean_delta_cts_s,reopt_mean_final_cts_s,reopt_status,reopt_x_um,reopt_y_um,reopt_z_um,run_id,signal_mean_cts_s,signal_median_cts_s,timestamp
1127.66,2026-04-01T07:57:53+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_005753.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_020.png,2000,2026-04-01T07:39:42+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_020.png,20,1127.668,23681.032,2026-04-01 10:03:32,32702.378,2326.6666666666665,success,,58000,1.0,4383.333333333333,74060.0,success,-1.0071727272727249,0.2946575757575791,-2.354283494949498,20260331_182347,67557.7691161911,67551.83246073297,20260401_005753
1127.668,2026-04-01T08:16:41+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_011640.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_021.png,2000,2026-04-01T07:58:30+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_021.png,21,1127.668,24808.701,2026-04-01 10:03:32,31574.711,4383.333333333333,success,,56000,1.0,9260.0,69023.33333333333,success,-1.2697989898989874,-0.1497868686868652,-1.950243090909094,20260331_182347,52636.670620869256,52272.25130890051,20260401_011640
1127.69,2026-04-01T08:35:28+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_013528.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_022.png,2000,2026-04-01T08:17:17+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_022.png,22,1127.669,25936.393,2026-04-01 10:03:32,30447.07,9260.0,success,,54000,1.0,5286.666666666667,71810.0,success,-1.451617171717169,-0.41241313131312785,-2.2532733939393967,20260331_182347,59171.558282865204,58705.75916230365,20260401_013528
1127.631,2026-04-01T08:54:16+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_015416.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_023.png,2000,2026-04-01T08:36:05+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_023.png,23,1127.668,27064.026,2026-04-01 10:03:32,29319.362,5286.666666666667,success,,52000,1.0,2776.6666666666665,76573.33333333333,success,-1.5526272727272699,-0.5134232323232287,-2.455293595959599,20260331_182347,66044.37864017053,65943.45549738218,20260401_015416
1127.66,2026-04-01T09:13:04+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_021303.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_024.png,2000,2026-04-01T08:54:53+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_024.png,24,1127.668,28191.689,2026-04-01 10:03:32,28191.689,2776.6666666666665,success,,50000,1.0,3050.0,74240.0,success,-1.7142434343434312,-0.7356454545454506,-2.5563036969696995,20260331_182347,61458.540631661555,61118.32460732983,20260401_021303
1127.614,2026-04-01T09:31:51+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_023151.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_025.png,2000,2026-04-01T09:13:40+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_025.png,25,1127.666,29319.304,2026-04-01 10:03:32,27063.973,3050.0,success,,48000,1.0,3143.3333333333335,76260.0,success,-1.8758595959595925,-0.7356454545454503,-2.8593340000000023,20260331_182347,63316.71379005859,63530.89005235601,20260401_023151
1127.572,2026-04-01T09:50:39+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_025039.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_026.png,2000,2026-04-01T09:32:28+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_026.png,26,1127.662,30446.879,2026-04-01 10:03:32,25936.23,3143.3333333333335,success,,46000,1.0,2540.0,76860.0,success,-1.855657575757572,-0.6144333333333288,-2.9603441010101035,20260331_182347,68701.71695639375,68356.02094240836,20260401_025039
1127.674,2026-04-01T10:09:27+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_030926.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_027.png,2000,2026-04-01T09:51:15+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_027.png,27,1127.663,31574.554,2026-04-01 10:03:32,24808.578,2540.0,success,,44000,1.0,2060.0,78423.33333333333,success,-2.0172737373737335,-0.6346353535353491,-3.162364303030305,20260331_182347,67376.92945762015,67551.83246073297,20260401_030926
1127.612,2026-04-01T10:28:14+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_032814.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_028.png,2000,2026-04-01T10:10:03+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_028.png,28,1127.661,32702.168,2026-04-01 10:03:32,23680.88,2060.0,success,,42000,1.0,1373.3333333333333,78033.33333333333,success,-2.077879797979794,-0.6548373737373692,-3.3643845050505075,20260331_182347,71135.74569423012,70768.58638743454,20260401_032814
1127.642,2026-04-01T10:47:02+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_034702.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_029.png,2000,2026-04-01T10:28:51+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_029.png,29,1127.66,33829.812,2026-04-01 10:03:32,22553.208,1373.3333333333333,success,,40000,1.0,1450.0,77490.0,success,-2.0980818181818144,-0.6750393939393893,-3.263374404040407,20260331_182347,70323.33722807423,69964.39790575915,20260401_034702
1127.615,2026-04-01T11:05:50+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_040549.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_030.png,2000,2026-04-01T10:47:38+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_030.png,30,1127.659,34957.429,2026-04-01 10:03:32,21425.521,1450.0,success,,38000,1.0,1886.6666666666667,77216.66666666667,success,-2.178889898989895,-0.6144333333333285,-3.2633744040404062,20260331_182347,68247.33448094399,68356.02094240836,20260401_040549
1127.622,2026-04-01T11:24:37+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_042437.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_031.png,2000,2026-04-01T11:06:26+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_031.png,31,1127.658,36085.053,2026-04-01 10:03:32,20297.842,1886.6666666666667,success,,36000,1.0,2450.0,76246.66666666667,success,-2.2596979797979753,-0.6346353535353484,-3.566404707070708,20260331_182347,67870.5851922545,67551.83246073297,20260401_042437
1127.676,2026-04-01T11:43:25+00:00,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\cpmg_xy_fine_res_chunk_20260401_044324.h5,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\chunk_cts_cycle_032.png,2000,2026-04-01T11:25:14+00:00,,C:\Users\QT3 User Facility\Documents\qick-dawg\data\cpmg_reopt\cpmg_reopt_run_20260331_182347\plots\cumulative_cycle_032.png,32,1127.659,37212.731,2026-04-01 10:03:32,19170.195,2450.0,success,,34000,1.0,1596.6666666666667,77696.66666666667,success,-2.2192939393939346,-0.5740292929292876,-3.6674148080808084,20260331_182347,69480.78881882319,69160.20942408375,20260401_044324
