tau_tdds,signal1,reference1,signal2,reference2,signal1_cts_s,reference1_cts_s,signal2_cts_s,reference2_cts_s,contrast
1950.8411458333335,7119,8487,7207,8424,210284.30769230766,250692.92307692303,212883.69230769228,248831.99999999997,0.9877896489524074
1975.90625,7137,8629,7210,8484,210815.99999999997,254887.38461538457,212972.30769230766,250604.30769230766,0.989875173370319
2000.9713541666667,7085,8566,7359,8628,209279.99999999997,253026.4615384615,217373.53846153844,254857.84615384613,0.9627666802554695
2026.0364583333335,7097,8618,7258,8600,209634.4615384615,254562.4615384615,214390.15384615381,254030.7692307692,0.9778175806007164
2051.1015625,7184,8493,7106,8398,212204.30769230766,250870.15384615381,209900.30769230766,248063.99999999997,1.0109766394596116
2076.166666666667,7176,8413,7340,8542,211967.99999999997,248507.07692307688,216812.30769230766,252317.53846153844,0.9776566757493188
2101.2317708333335,7147,8387,7256,8416,211111.3846153846,247739.07692307688,214331.0769230769,248595.69230769228,0.9849779492833517
2126.296875,7135,8431,7316,8614,210756.92307692303,249038.7692307692,216103.3846153846,254444.30769230766,0.9752597047566977
2151.361979166667,7004,8474,7226,8491,206887.3846153846,250308.92307692303,213444.92307692303,250811.07692307688,0.969277608635483
2176.4270833333335,7138,8501,7308,8484,210845.53846153844,251106.4615384615,215867.0769230769,250604.30769230766,0.9767378215654078
2201.4921875,7010,8545,7454,8431,207064.61538461535,252406.15384615381,220179.69230769228,249038.7692307692,0.9404346659511672
2226.557291666667,7181,8479,7189,8390,212115.69230769228,250456.61538461535,212351.99999999997,247827.69230769228,0.9988871887606064
2251.6223958333335,7308,8560,7111,8351,215867.0769230769,252849.23076923072,210047.99999999997,246675.69230769228,1.0277035578680918
2276.6875,6986,8519,7181,8510,206355.69230769228,251638.15384615381,212115.69230769228,251372.30769230766,0.9728450076591004
2301.752604166667,7041,8467,7287,8404,207980.30769230766,250102.15384615381,215246.7692307692,248241.23076923072,0.9662412515438452
2326.8177083333335,7054,8513,7296,8516,208364.30769230766,251460.92307692303,215512.61538461535,251549.53846153844,0.9668311403508771
2351.8828125,7010,8394,7067,8529,207064.61538461535,247945.84615384613,208748.30769230766,251933.53846153844,0.9919343427196831
2376.947916666667,7123,8427,7139,8558,210402.4615384615,248920.61538461535,210875.0769230769,252790.15384615381,0.997758789746463
2402.0130208333335,7008,8428,7123,8458,207005.53846153844,248950.15384615381,210402.4615384615,249836.30769230766,0.9838551172258879
2427.078125,7109,8428,7207,8236,209988.92307692303,248950.15384615381,212883.69230769228,243278.7692307692,0.9864021090606355
2452.143229166667,6986,8472,7260,8307,206355.69230769228,250249.84615384613,214449.23076923075,245375.99999999997,0.9622589531680441
2477.2083333333335,6992,8517,7218,8645,206532.92307692303,251579.07692307688,213208.61538461535,255359.99999999997,0.9686893876420061
2502.2734375,7061,8458,7266,8693,208571.0769230769,249836.30769230766,214626.4615384615,256777.84615384613,0.9717864024222406
2527.338541666667,7195,8434,7170,8533,212529.23076923075,249127.3846153846,211790.7692307692,252051.69230769228,1.003486750348675
2552.4036458333335,7050,8400,7340,8520,208246.15384615381,248123.07692307688,216812.30769230766,251667.69230769228,0.9604904632152589
2577.46875,6971,8512,7247,8670,205912.61538461535,251431.3846153846,214065.23076923075,256098.4615384615,0.9619152752863254
2602.533854166667,6922,8487,7252,8590,204465.23076923075,250692.92307692303,214212.92307692303,253735.3846153846,0.9544953116381688
2627.5989583333335,7013,8378,7243,8440,207153.23076923075,247473.23076923072,213947.0769230769,249304.61538461535,0.9682452022642551
2652.6640625,6695,8379,7365,8572,197759.99999999997,247502.7692307692,217550.7692307692,253203.69230769228,0.9090291921249152
2677.729166666667,6629,8374,7176,8553,195810.4615384615,247355.07692307688,211967.99999999997,252642.4615384615,0.9237736900780379
2702.7942708333335,6244,8448,7180,8376,184438.15384615381,249540.92307692303,212086.15384615381,247414.15384615381,0.8696378830083565
2727.859375,6254,8365,7181,8362,184733.53846153844,247089.23076923072,212115.69230769228,247000.61538461535,0.8709093441024927
2752.924479166667,6139,8560,7259,8597,181336.61538461535,252849.23076923072,214419.69230769228,253942.15384615381,0.845708775313404
2777.9895833333335,6184,8568,7412,8425,182665.84615384613,253085.53846153844,218939.0769230769,248861.53846153844,0.8343227199136536
2803.0546875,6052,8403,7197,8529,178766.76923076922,248211.69230769228,212588.30769230766,251933.53846153844,0.8409059330276504
2828.119791666667,5978,8435,7310,8715,176580.92307692306,249156.92307692303,215926.15384615381,257427.69230769228,0.8177838577291382
2853.1848958333335,5938,8449,7272,8378,175399.3846153846,249570.4615384615,214803.69230769228,247473.23076923072,0.8165566556655666
2878.25,5987,8566,7177,8485,176846.76923076922,253026.4615384615,211997.53846153844,250633.84615384613,0.8341925595652779
2903.315104166667,5926,8505,7117,8540,175044.92307692306,251224.61538461535,210225.23076923075,252258.4615384615,0.8326542082338064
2928.3802083333335,6028,8651,7327,8524,178057.84615384613,255537.23076923072,216428.30769230766,251785.84615384613,0.8227105227241709
2953.4453125,5720,8529,7253,8551,168959.99999999997,251933.53846153844,214242.4615384615,252583.3846153846,0.7886391837860196
2978.510416666667,5821,8646,7180,8521,171943.3846153846,255389.53846153844,212086.15384615381,251697.23076923072,0.8107242339832869
3003.5755208333335,6012,8422,7261,8601,177585.23076923075,248772.92307692303,214478.7692307692,254060.30769230766,0.8279851260157003
3028.640625,6042,8387,7386,8538,178471.3846153846,247739.07692307688,218171.0769230769,252199.3846153846,0.818034118602762
3053.705729166667,5875,8391,7127,8582,173538.4615384615,247857.23076923072,210520.61538461535,253499.07692307688,0.8243300126280342
3078.7708333333335,5971,8537,7138,8601,176374.15384615381,252169.84615384613,210845.53846153844,254060.30769230766,0.8365088260016812
3103.8359375,5909,8547,7332,8599,174542.76923076922,252465.23076923072,216575.99999999997,254001.23076923072,0.8059192580469177
3128.901041666667,5905,8444,7286,8554,174424.61538461535,249422.7692307692,215217.23076923075,252671.99999999997,0.8104584133955531
3153.9661458333335,6030,8667,7293,8546,178116.92307692306,256009.84615384613,215423.99999999997,252435.69230769228,0.8268202385849445
3179.03125,6010,8348,7356,8566,177526.15384615381,246587.07692307688,217284.92307692303,253026.4615384615,0.8170201196302338
3204.096354166667,6130,8409,7357,8395,181070.76923076922,248388.92307692303,217314.4615384615,247975.3846153846,0.833220062525486
3229.1614583333335,6226,8534,7338,8522,183906.4615384615,252081.23076923072,216753.23076923075,251726.7692307692,0.8484600708639957
3254.2265625,6400,8486,7227,8551,189046.15384615381,250663.3846153846,213474.4615384615,252583.3846153846,0.8855680088556801
3279.291666666667,6633,8479,7231,8604,195928.61538461535,250456.61538461535,213592.61538461535,254148.92307692303,0.9173005116857973
3304.3567708333335,6738,8560,7212,8449,199030.15384615381,252849.23076923072,213031.3846153846,249570.4615384615,0.9342762063227953
3329.421875,6654,8410,7390,8493,196548.92307692306,248418.4615384615,218289.23076923075,250870.15384615381,0.900405953991881
3354.486979166667,6882,8494,7252,8643,203283.69230769228,250899.69230769228,214212.92307692303,255300.92307692303,0.9489795918367347
3379.5520833333335,6824,8394,7240,8432,201570.4615384615,247945.84615384613,213858.4615384615,249068.30769230766,0.9425414364640884
3404.6171875,6687,8473,7146,8605,197523.69230769228,250279.3846153846,211081.84615384613,254178.4615384615,0.9357682619647355
3429.682291666667,6762,8473,7099,8447,199739.0769230769,250279.3846153846,209693.53846153844,249511.3846153846,0.9525285251443866
3454.7473958333335,6721,8498,7351,8450,198527.99999999997,251017.84615384613,217137.23076923075,249599.99999999997,0.9142973745068698
3479.8125,6728,8556,7210,8622,198734.7692307692,252731.07692307688,212972.30769230766,254680.61538461535,0.9331484049930652
3504.877604166667,6750,8564,7236,8689,199384.61538461535,252967.3846153846,213740.30769230766,256659.69230769228,0.9328358208955224
3529.9427083333335,6733,8549,7230,8490,198882.4615384615,252524.30769230766,213563.0769230769,250781.53846153844,0.9312586445366529
3555.0078125,6766,8513,7077,8529,199857.23076923075,251460.92307692303,209043.69230769228,251933.53846153844,0.9560548254910273
3580.072916666667,6865,8436,7258,8404,202781.53846153844,249186.4615384615,214390.15384615381,248241.23076923072,0.9458528520253513
3605.1380208333335,6764,8453,7281,8571,199798.15384615381,249688.61538461535,215069.53846153844,253174.15384615381,0.9289932701551985
3630.203125,7024,8401,7188,8531,207478.15384615381,248152.61538461535,212322.4615384615,251992.61538461535,0.9771841958820257
3655.268229166667,7039,8368,7230,8634,207921.23076923075,247177.84615384613,213563.0769230769,255035.07692307688,0.973582295988935
3680.3333333333335,6833,8524,7353,8522,201836.30769230766,251785.84615384613,217196.30769230766,251726.7692307692,0.9292805657554739
3705.3984375,7040,8562,7076,8490,207950.7692307692,252908.30769230766,209014.15384615381,250781.53846153844,0.994912379875636
3730.463541666667,6942,8548,7263,8576,205055.99999999997,252494.7692307692,214537.84615384613,253321.84615384613,0.9558033870301529
3755.5286458333335,6861,8509,7257,8614,202663.3846153846,251342.7692307692,214360.61538461535,254444.30769230766,0.9454319966928483
3780.59375,6892,8493,7318,8568,203579.0769230769,250870.15384615381,216162.4615384615,253085.53846153844,0.9417873735993441
3805.658854166667,6974,8547,7192,8637,206001.23076923075,252465.23076923072,212440.61538461535,255123.69230769228,0.9696885428253615
3830.7239583333335,6877,8479,7323,8617,203135.99999999997,250456.61538461535,216310.15384615381,254532.92307692303,0.9390959989075516
3855.7890625,6881,8498,7208,8627,203254.15384615381,251017.84615384613,212913.23076923075,254828.30769230766,0.9546337402885683
3880.854166666667,6944,8623,7403,8559,205115.0769230769,254710.15384615381,218673.23076923075,252819.69230769228,0.9379981088747805
3905.9192708333335,6958,8570,7224,8569,205528.61538461535,253144.61538461535,213385.84615384613,253115.07692307688,0.9631782945736435
